TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132523941138116873,2127,2150,2716,1837,1812,1898,-262,-403,-413
132523941138390084,2071,2168,2716,1860,1757,1856,-262,-403,-413
132523941138643614,2040,2239,2720,1900,1740,1885,-273,-408,-394
132523941138653067,2097,2239,2645,1919,1739,1896,-273,-408,-394
132523941138923924,2115,2194,2561,1896,1770,1939,-273,-408,-394
132523941139142362,2078,2111,2613,1885,1763,1939,-271,-428,-406
132523941139266321,2037,2210,2682,1923,1748,1935,-271,-428,-406
132523941139513319,2036,2197,2710,1943,1733,1916,-271,-428,-406
132523941139754289,2038,2240,2662,1964,1731,1924,-271,-428,-406
132523941139851919,2072,2166,2690,1969,1728,1895,-260,-412,-404
132523941140116217,2111,2119,2684,1959,1698,1873,-260,-412,-404
132523941140352357,2091,2143,2695,1995,1574,1769,-260,-412,-404
132523941140479386,1982,2200,2668,1989,1612,1717,-255,-407,-408
132523941140725056,2035,2157,2629,1978,1635,1768,-255,-407,-408
132523941140968576,2058,2167,2628,1958,1677,1820,-255,-407,-408
132523941141052700,2038,2163,2613,1940,1687,1842,-255,-407,-408
132523941141290724,2010,2142,2634,1934,1700,1880,-249,-383,-421
132523941141550296,2025,2182,2760,1940,1716,1877,-249,-383,-421
132523941141645289,2028,2132,2717,1949,1699,1887,-249,-383,-421
132523941141867603,2044,2135,2693,1934,1693,1882,-253,-385,-413
132523941142150090,2089,2128,2678,1920,1700,1910,-253,-385,-413
132523941142417096,2112,2140,2701,1876,1733,1886,-253,-385,-413
132523941142690702,2091,2143,2711,1850,1730,1891,-253,-385,-413
132523941142701920,2043,2126,2698,1868,1722,1919,-261,-382,-414
132523941142788673,1998,2152,2730,1890,1729,1947,-261,-382,-414
132523941143051200,1998,2106,2695,1900,1721,1963,-261,-382,-414
132523941143194338,2080,2114,2652,1877,1716,1962,-256,-377,-418
132523941143427823,2089,2076,2619,1799,1705,1955,-256,-377,-418
132523941143624311,2020,2024,2671,1766,1727,1880,-256,-377,-418
132523941143789796,2003,2163,2802,1760,1768,1863,-256,-377,-418
132523941143927700,2015,2051,2763,1764,1767,1838,-262,-377,-424
132523941144186120,2126,2144,2716,1835,1700,1887,-262,-377,-424
132523941144454865,2295,2121,2591,1826,1661,1904,-262,-377,-424
132523941144589482,2250,1981,2311,1748,1604,1960,-291,-378,-420
132523941144827948,2348,2065,2436,1652,1719,1975,-291,-378,-420
132523941144926737,2171,2023,2619,1553,1753,1838,-291,-378,-420
132523941145179975,2058,2029,2718,1580,1695,1824,-291,-378,-420
132523941145288593,2241,2089,2664,1581,1697,1784,-349,-363,-421
132523941145527825,2298,2087,2530,1535,1643,1740,-349,-363,-421
132523941145803914,2247,2001,2414,1545,1563,1842,-349,-363,-421
132523941146074032,2323,2042,2409,1638,1485,2048,-425,-340,-408
132523941146328483,2464,1968,2448,1694,1549,2078,-425,-340,-408
132523941146338876,2706,1989,2494,1541,1553,1791,-425,-340,-408
132523941146480665,2446,2096,2449,1379,1460,1599,-425,-340,-408
132523941146719496,2196,2046,2482,1445,1566,1785,-479,-298,-397
132523941146954580,2420,1992,2410,1527,1471,2034,-479,-298,-397
132523941147129157,2621,1868,2464,1693,1354,2104,-479,-298,-397
132523941147339099,2825,2173,2418,1751,1346,2100,-557,-253,-375
132523941147592398,2765,2090,2288,1579,1509,1851,-557,-253,-375
132523941147602538,2611,1918,2195,1184,1555,1787,-557,-253,-375
132523941147939283,2629,1826,2160,1121,1607,1741,-557,-253,-375
132523941148114671,2772,1848,2250,1337,1647,1824,-631,-201,-326
132523941148256244,2959,1957,2239,1828,1752,1991,-631,-201,-326
132523941148553156,2776,1868,2342,2316,2058,1939,-631,-201,-326
132523941148786642,2651,2122,2249,2500,2216,1849,-651,-209,-304
132523941148879801,2629,1981,2117,2169,2018,1809,-651,-209,-304
132523941149112784,2757,1938,2300,1850,1787,1841,-651,-209,-304
132523941149363475,2576,2010,2315,1687,1769,1927,-651,-209,-304
132523941149614647,2819,1965,2117,1503,1691,1812,-631,-241,-311
132523941150041868,2857,1971,2093,1525,1525,1846,-631,-241,-311
132523941150163500,2604,1915,2341,1610,1495,1743,-631,-241,-311
132523941150179845,2929,1997,2182,1506,1511,1866,-673,-213,-263
132523941150287820,2760,2045,2116,1552,1471,1961,-673,-213,-263
132523941150380213,2856,1979,2064,1680,1457,1980,-673,-213,-263
132523941150629127,2881,1995,2019,1682,1502,1955,-723,-195,-221
132523941150861901,2864,1973,1944,1635,1559,1913,-723,-195,-221
132523941150954812,2753,1886,1976,1586,1662,1949,-723,-195,-221
